source,model,rmse,original_rmse,centered_rmse,proxy,T,amplitude,realized,oracle
holdout_rmse_v1,ridge_contextual_a1,0.8039792788523673,0.803979,0.4599069099495884,75.58801051420137,0.7718876512418574,1.0237707284402509,6184.394216224618,9000.886095779735
holdout_rmse_v1,ridge_temporal_a1,0.8467006568061995,0.846701,0.5113827348830681,93.5414268662429,0.749053058959579,1.1755273200098206,5990.035547105109,9000.886095779735
holdout_rmse_v1,climatology_weekday_slot,0.8948355972952869,0.894836,0.4810210349665639,85.16749223066152,0.6817348546461646,0.6363159310507536,5644.280127937861,9000.886095779735
holdout_rmse_v2,lgb_contextual,0.5271571329853805,0.527157,0.42829420933215556,56.90059704451218,0.7263452363913904,0.813673477246939,6144.90666780751,9000.886095779735
holdout_rmse_v2,transformer_contextual,0.6827877171860671,0.630545,0.46068073215898325,68.95312494216311,0.7647519753928123,0.9758582717891052,6214.361781989832,9000.886095779735
holdout_rmse_v2,xgboost_contextual,0.5240495755334971,0.52405,0.41747754415223426,58.67704497547109,0.7356461776894877,0.7822604480589149,5891.784848505603,9000.886095779735
holdout_rmse_v2,lstm_contextual,0.5174897636336012,0.528645,0.4310958241714628,54.29267319378602,0.7339754767593432,0.6725071092578598,5709.509962229146,9000.886095779735
holdout_rmse_v2,catboost_contextual,0.5290323087811635,0.529032,0.4230110373935516,53.25334514501102,0.76783393043466,0.7778503318341623,6043.050353897209,9000.886095779735
holdout_rmse_v2,lgb_baseline,0.5625259685360955,0.562526,0.43992715352535305,70.53022310664151,0.7138855802886681,0.7733419995396524,5786.1008710125425,9000.886095779735
holdout_rmse_v2,lgb_full,0.5821978536455665,0.582198,0.45872534473570475,58.0661932458416,0.7474211534590065,0.9786490285244619,6034.937557683761,9000.886095779735
holdout_rmse_v2,xgboost_full,0.5860787168882754,0.586079,0.46162583170631577,62.867970714257936,0.7136986311979682,0.977623783276651,6086.531913376197,9000.886095779735
