source,model,family,n_days,rmse_same_prediction,rmse_original_table,mae_same_prediction,centered_rmse,realized_mean,predicted_mean,oracle_mean,capture_aggregate,capture_daily_mean,listwise_proxy,amplitude_ratio,window_spearman
holdout_seed_bag_v1,listwise_transformer_mean,transformer,59,0.766735469826549,0.7667354698265489,0.49141402033432413,0.41468687104686014,6693.875025301354,4778.057583396213,9000.886095779735,0.7436906715706496,0.7327562914971415,28.209676514337442,0.5804019201006013,0.7866017726190389
holdout_seed_bag_v1,spo_lstm_seed42,lstm,59,0.833675556506089,0.833675556506089,0.6390775983788254,0.4033269683719752,6546.560555626133,7207.9253283376665,9000.886095779735,0.727324008543518,0.7438534408376867,49.497570522916014,0.7132032521337688,0.7771982941823743
holdout_seed_bag_v1,spo_lstm_seed43,lstm,59,0.8114162568880398,0.8114162568880398,0.6031929879855445,0.4131367568478933,6456.256305760955,8069.900877016075,9000.886095779735,0.7172911907848843,0.7381527022163558,56.194839161702475,0.7814768603197945,0.7717666666884636
holdout_seed_bag_v1,spo_lstm_seed44,lstm,59,0.7851947037615598,0.7851947037615599,0.5699854802721129,0.40869439954578746,6239.067159590596,7145.192935052564,9000.886095779735,0.6931614391294121,0.7002526588916869,52.625487339550396,0.6876846303937187,0.7702122245767697
holdout_seed_bag_v1,spo_lstm_seed45,lstm,59,0.9578890975964344,0.9578890975964344,0.7609611171586355,0.4053716216544174,6430.004354936162,7038.184513732538,9000.886095779735,0.7143745945136459,0.729562404565821,50.25477281018612,0.6775659811613649,0.7702443286204743
holdout_seed_bag_v1,spo_lstm_seed46,lstm,59,0.8337747528083573,0.8337747528083573,0.6145827031935054,0.40465389945048175,6484.371941487148,7631.207146760771,9000.886095779735,0.7204148427705901,0.741330344710906,51.82858690958598,0.7190143972701541,0.777407085164457
holdout_seed_bag_v1,spo_lstm_mean,lstm,59,0.8408383866891215,0.8408383866891214,0.6351417116973689,0.4032964625755009,6476.013317670035,7342.994856054626,9000.886095779735,0.7194861982206905,0.7365501750698248,50.5334727515693,0.7090446304815552,0.7798368258447165
holdout_seed_bag_v1,window_ce_lstm_seed42,lstm,59,0.840092149921684,0.8400921499216839,0.6426026629324051,0.4184987890805342,6301.350028314183,6967.284311051086,9000.886095779735,0.7000810766029703,0.7179690815543283,51.982711028093675,0.6839348200799191,0.7488925966739558
holdout_seed_bag_v1,window_ce_lstm_seed43,lstm,59,0.7672250503113431,0.7672250503113431,0.5378189900058339,0.41165897688645636,6120.004099694219,6474.544204897799,9000.886095779735,0.6799335126086884,0.6947233656317047,47.00100862218716,0.6417603596252018,0.7642471327841518
holdout_seed_bag_v1,window_ce_lstm_seed44,lstm,59,0.7922727356394372,0.792272735639437,0.5796245365973949,0.41176202981008586,6213.57151014089,7099.968250904043,9000.886095779735,0.6903288680715847,0.7081357182081158,52.543653176665806,0.6554014611453736,0.753077181188969
holdout_seed_bag_v1,window_ce_lstm_seed45,lstm,59,0.9084584376100536,0.9084584376100536,0.6953476034170826,0.4090070413933931,5916.328569787925,6180.324962394217,9000.886095779735,0.6573051260544144,0.6611553190318143,46.54498971516713,0.5790460302639615,0.7443117084152774
holdout_seed_bag_v1,window_ce_lstm_seed46,lstm,59,0.8983810830304589,0.8983810830304592,0.7028565660071345,0.4190440921430001,5699.286682925662,7052.95825913801,9000.886095779735,0.6331917349335082,0.5598161364614521,58.586125018828284,0.6990574809078551,0.7555734432618123
holdout_seed_bag_v1,window_ce_lstm_mean,lstm,59,0.8347421295337275,0.8347421295337275,0.6262175487900257,0.40638869754475243,6114.310486511799,6589.870468830153,9000.886095779735,0.6793009512006412,0.691813408599073,48.031338562730454,0.6357441923490478,0.7642998383229599
holdout_seed_bag_v1,listwise_spo_50_50,mix,59,0.7887835423485625,0.7887835423485625,0.5352185860818065,0.4020084696326872,6537.1442098801945,6032.359189751668,9000.886095779735,0.7262778509046214,0.747716983531557,38.42273913997031,0.6319461499841879,0.7846397470596979
holdout_dispatch_loss_v1,transformer_dispatch,transformer,59,1.6212809129703454,1.621281,1.5104396666989597,0.4051568533875298,6213.62656387709,6739.601807321532,9000.886095779735,0.6903349845511862,0.7032004827166529,45.54552852660985,0.6878761402878765,0.7727785073057515
