source,model,date,tc,td,idle,realized,predicted,oracle,capture_daily
holdout_rmse_v1,transformer_contextual,2025-12-19,0,87,False,5216.059064865619,11385.911151766777,8844.185907706433,0.5897726618705036
holdout_rmse_v1,transformer_contextual,2025-12-20,49,72,False,9223.693742640322,7683.310613036156,9255.507361013364,0.9965627364192859
holdout_rmse_v1,transformer_contextual,2025-12-21,48,68,False,5987.322977807017,2084.335058927536,7005.358765744449,0.8546775658492279
holdout_rmse_v1,transformer_contextual,2025-12-22,0,21,False,441.9038846489407,1590.508610010147,4748.357517077977,0.09306457718476041
holdout_rmse_v1,transformer_contextual,2025-12-23,0,68,False,9658.535004010446,9001.111820340157,10434.86682635867,0.9256021341463415
holdout_rmse_v1,transformer_contextual,2025-12-24,16,83,False,4905.659953123497,11032.760500907898,9825.502417317695,0.4992782806177064
holdout_rmse_v1,transformer_contextual,2025-12-25,47,71,False,10632.171706146455,13433.715298771858,11095.330269230428,0.9582564419584333
holdout_rmse_v1,transformer_contextual,2025-12-26,49,84,False,388.74332834758275,12350.486695766449,7346.620268670262,0.05291458032823375
holdout_rmse_v1,transformer_contextual,2025-12-27,58,69,False,2381.5961036626636,1501.5659481287005,7411.580496026182,0.32133444478402257
holdout_rmse_v1,transformer_contextual,2025-12-28,12,74,False,11212.025802784592,10458.054035902023,11889.188213940359,0.943043847992769
holdout_rmse_v1,transformer_contextual,2025-12-29,48,79,False,10618.670006508935,13613.336473703384,12388.222994463616,0.857158448895737
holdout_rmse_v1,transformer_contextual,2025-12-30,49,82,False,31240.97324232992,11593.202769756317,31559.10942606037,0.9899193548387096
holdout_rmse_v1,transformer_contextual,2025-12-31,48,66,False,3244.9890740505616,10115.963816642761,22576.10161322132,0.1437355806438339
holdout_rmse_v1,catboost_contextual,2025-11-03,47,82,False,5376.501505044559,19264.268939148864,13361.719716678786,0.40238095238095234
holdout_rmse_v1,catboost_contextual,2025-11-04,48,69,False,6178.538731038204,11425.84260420457,7323.682649823298,0.8436382386376718
holdout_rmse_v1,catboost_contextual,2025-11-05,0,22,False,5662.824070401962,6339.810509144748,5662.824070401962,1.0
holdout_rmse_v1,catboost_contextual,2025-11-06,55,68,False,144.40201379524976,2721.1955102881598,922.5949328182957,0.1565172413793103
holdout_rmse_v1,catboost_contextual,2025-11-07,59,88,False,1405.89787905608,2906.3099022371616,6793.7950222018635,0.20693851881925482
holdout_rmse_v1,catboost_contextual,2025-11-08,48,87,False,7860.381573138398,3866.7787727595437,8037.637510627493,0.9779467614389522
holdout_rmse_v1,catboost_contextual,2025-11-09,48,73,False,12193.170518856641,13387.721649633619,12573.171464875311,0.9697768421372246
holdout_rmse_v1,catboost_contextual,2025-11-10,48,73,False,10460.903091635171,13070.806850280589,11155.171685390125,0.9377626258622057
holdout_rmse_v1,catboost_contextual,2025-11-11,51,69,False,7459.695412453574,4170.636922186185,7485.846206756217,0.996506634843895
holdout_rmse_v1,catboost_contextual,2025-11-12,48,70,False,10368.230021314492,13669.885774502874,10483.503486127383,0.9890042994724587
holdout_rmse_v1,catboost_contextual,2025-11-13,55,88,False,2425.155309939036,3755.604419742233,9537.757783219018,0.2542689136230654
holdout_rmse_v1,catboost_contextual,2025-11-14,48,69,False,3738.0619824907076,3427.397535466037,3791.572488594169,0.985886988508216
holdout_rmse_v1,catboost_contextual,2025-11-15,49,85,False,7954.3876340689085,6122.189354587781,8345.596517840402,0.9531239159555335
holdout_rmse_v1,catboost_contextual,2025-11-16,47,88,False,7319.7663934015745,6018.35903602385,9645.889090707162,0.758848284960422
holdout_rmse_v1,catboost_contextual,2025-11-17,54,88,False,3815.0827525718496,4179.468426687879,7342.5831204987235,0.5195831889081456
holdout_rmse_v1,catboost_contextual,2025-11-18,37,69,False,9044.347650424119,14412.681017756873,10104.393321423157,0.8950906167962062
holdout_rmse_v1,catboost_contextual,2025-11-19,49,88,False,8716.931434214255,10541.362175270608,10200.934927737997,0.8545227957989914
holdout_rmse_v1,catboost_contextual,2025-11-20,53,69,False,8526.049723975988,7376.155664090755,8685.117815841211,0.9816849816849818
holdout_rmse_v1,catboost_contextual,2025-11-21,51,68,False,6683.354046019838,7724.742594671026,7103.440151188545,0.9408615971659283
holdout_rmse_v1,catboost_contextual,2025-11-22,49,88,False,2126.702211895992,2973.1290457523787,6264.524578776868,0.3394834173212271
holdout_rmse_v1,catboost_contextual,2025-11-23,49,75,False,6269.694291762487,5550.881567521053,6269.694291762487,1.0
holdout_rmse_v1,catboost_contextual,2025-11-24,51,73,False,7308.854322299621,10147.54893735838,10017.17946801529,0.7296319633322621
holdout_rmse_v1,catboost_contextual,2025-11-25,48,88,False,1.9151798260572672,2861.467175728128,1565.2300239538,0.001223577235772342
holdout_rmse_v1,catboost_contextual,2025-11-26,49,84,False,7142.682249451696,3657.1881235032997,7918.575043866373,0.9020161089442887
holdout_rmse_v1,catboost_contextual,2025-11-27,52,88,False,1185.0318335012175,3440.5836317945955,3235.7981197025892,0.36622551520925445
holdout_rmse_v1,catboost_contextual,2025-11-28,54,83,False,6067.031998640681,2583.69845270923,6405.093051558167,0.9472199622712358
holdout_rmse_v1,catboost_contextual,2025-11-29,52,84,False,2276.105326499485,3222.3499380215703,5801.283300285127,0.3923451430802589
holdout_rmse_v1,catboost_contextual,2025-11-30,51,88,False,10816.630246835208,11385.56421783903,10816.630246835208,1.0
holdout_rmse_v1,catboost_contextual,2025-12-01,51,68,False,76.13635149037279,8360.32945239376,7602.92350373086,0.010014088850560134
holdout_rmse_v1,catboost_contextual,2025-12-02,51,82,False,6890.829739601488,4639.3432564085515,7113.5250682128,0.9686940966010735
holdout_rmse_v1,catboost_contextual,2025-12-03,54,88,False,8323.956894623057,5646.382894508001,9007.2147950591,0.9241432655951711
holdout_rmse_v1,catboost_contextual,2025-12-04,52,66,False,9551.4694527378,7622.362691105441,11898.293271518727,0.802759625668449
holdout_rmse_v1,catboost_contextual,2025-12-05,51,88,False,4130.9251744176,2446.1946984657966,4598.152699291483,0.8983879928681192
holdout_rmse_v1,catboost_contextual,2025-12-06,49,70,False,472.4481396489006,3020.1037554494915,1382.2635419667454,0.34179309900388505
holdout_rmse_v1,catboost_contextual,2025-12-07,48,69,False,10021.28978750909,12012.457380379707,15016.027872077113,0.6673728813559321
holdout_rmse_v1,catboost_contextual,2025-12-08,50,73,False,6172.475055376301,6595.278661594944,7915.851798133639,0.7797613210534862
holdout_rmse_v1,catboost_contextual,2025-12-09,51,69,False,10212.171497747358,12135.64823503306,10593.934918223893,0.9639639639639642
holdout_rmse_v1,catboost_contextual,2025-12-10,49,88,False,3242.2944605743646,16991.22004271697,7441.205337455161,0.43572167592988453
holdout_rmse_v1,catboost_contextual,2025-12-11,48,66,False,6116.374920737272,6067.707095069983,25769.030882166222,0.2373537037037037
holdout_rmse_v1,catboost_contextual,2025-12-12,53,68,False,-10239.801625304346,3474.955952939439,9467.73282781811,-1.081547379032258
holdout_rmse_v1,catboost_contextual,2025-12-13,53,68,False,3713.209183817685,5475.910224467713,4825.562806145682,0.7694872770257307
holdout_rmse_v1,catboost_contextual,2025-12-14,53,70,False,596.4162663631441,7994.605421415786,3981.935636852956,0.14978048887663836
holdout_rmse_v1,catboost_contextual,2025-12-15,47,88,False,11834.666034772637,16062.742083151817,11961.920508264817,0.9893617021276595
holdout_rmse_v1,catboost_contextual,2025-12-16,49,69,False,9162.322091436881,11702.395555524377,9575.899130286462,0.956810631229236
holdout_rmse_v1,catboost_contextual,2025-12-17,49,80,False,3524.6021472930897,4804.8182824113,7365.352127168311,0.47853817257317754
holdout_rmse_v1,catboost_contextual,2025-12-18,49,73,False,373.62549689671187,2769.130943582443,4304.280762294158,0.08680323555324293
holdout_rmse_v1,catboost_contextual,2025-12-19,48,68,False,8821.461440102566,8164.998013821897,8844.185907706433,0.9974305755395683
holdout_rmse_v1,catboost_contextual,2025-12-20,53,73,False,9191.880124267276,8568.19479473547,9255.507361013364,0.9931254728385714
holdout_rmse_v1,catboost_contextual,2025-12-21,50,69,False,6050.950214553106,5023.88056628201,7005.358765744449,0.8637602179836511
holdout_rmse_v1,catboost_contextual,2025-12-22,53,88,False,599.6517113516825,2574.5328404759944,4748.357517077977,0.12628613350931786
holdout_rmse_v1,catboost_contextual,2025-12-23,51,69,False,10012.331072575238,13807.35908690399,10434.86682635867,0.9595073170731706
holdout_rmse_v1,catboost_contextual,2025-12-24,52,78,False,8504.2446699431,11917.640978605732,9825.502417317695,0.8655277164202978
holdout_rmse_v1,catboost_contextual,2025-12-25,51,72,False,11031.703032484338,15098.784447249602,11095.330269230428,0.9942654039850854
holdout_rmse_v1,catboost_contextual,2025-12-26,50,68,False,4423.5054785089815,11332.279815071359,7346.620268670262,0.6021143487397962
holdout_rmse_v1,catboost_contextual,2025-12-27,54,68,False,1991.5865933038335,4080.5158673144224,7411.580496026182,0.268712806178338
holdout_rmse_v1,catboost_contextual,2025-12-28,50,88,False,9542.195782982059,12152.515285005105,11889.188213940359,0.802594391751121
holdout_rmse_v1,catboost_contextual,2025-12-29,51,88,False,11098.4066461271,16964.41443708402,12388.222994463616,0.8958836671802772
holdout_rmse_v1,catboost_contextual,2025-12-30,51,67,False,8812.372289333387,13471.703946420663,31559.10942606037,0.2792338709677418
holdout_rmse_v1,catboost_contextual,2025-12-31,49,66,False,3244.9890740505616,12567.555346550642,22576.10161322132,0.1437355806438339
holdout_rmse_v1,xgboost_contextual,2025-11-03,54,86,False,11102.95281219261,16449.168112827465,13361.719716678786,0.830952380952381
holdout_rmse_v1,xgboost_contextual,2025-11-04,50,71,False,6623.783045616314,11923.204184509814,7323.682649823298,0.9044333789881146
holdout_rmse_v1,xgboost_contextual,2025-11-05,3,21,False,5312.874268298468,4040.5688285827637,5662.824070401962,0.938202247191011
holdout_rmse_v1,xgboost_contextual,2025-11-06,53,68,False,303.47010566047226,5246.800720691681,922.5949328182957,0.3289310344827576
holdout_rmse_v1,xgboost_contextual,2025-11-07,59,74,False,3869.830808430022,2787.3706243117335,6793.7950222018635,0.5696125355244841
holdout_rmse_v1,xgboost_contextual,2025-11-08,58,74,False,7140.681172856032,4797.837279736996,8037.637510627493,0.8884054752922745
holdout_rmse_v1,xgboost_contextual,2025-11-09,55,71,False,12553.211600708064,14634.52473282814,12573.171464875311,0.9984125036214604
holdout_rmse_v1,xgboost_contextual,2025-11-10,53,73,False,10227.057089784106,12644.247939810157,11155.171685390125,0.9167996135082738
holdout_rmse_v1,xgboost_contextual,2025-11-11,54,68,False,7350.822847657341,3572.4743097089236,7485.846206756217,0.9819628462341354
holdout_rmse_v1,xgboost_contextual,2025-11-12,37,71,False,10121.23226962801,13403.349459171295,10483.503486127383,0.9654436880782498
holdout_rmse_v1,xgboost_contextual,2025-11-13,55,68,False,9537.757783219018,4216.658128483687,9537.757783219018,1.0
holdout_rmse_v1,xgboost_contextual,2025-11-14,59,72,False,2738.175863835098,4098.74048322672,3791.572488594169,0.7221742092686069
holdout_rmse_v1,xgboost_contextual,2025-11-15,54,77,False,8345.596517840402,7810.7598018832505,8345.596517840402,1.0
holdout_rmse_v1,xgboost_contextual,2025-11-16,58,88,False,7319.7663934015745,5673.773331567645,9645.889090707162,0.758848284960422
holdout_rmse_v1,xgboost_contextual,2025-11-17,56,88,False,3815.0827525718496,3637.899044901132,7342.5831204987235,0.5195831889081456
holdout_rmse_v1,xgboost_contextual,2025-11-18,54,69,False,9092.720257160334,14168.001586571336,10104.393321423157,0.8998779014156257
holdout_rmse_v1,xgboost_contextual,2025-11-19,53,88,False,8716.931434214255,10367.7559637581,10200.934927737997,0.8545227957989914
