source,model,date,tc,td,idle,realized,predicted,oracle,capture_daily,point_mse,point_mae,centered_mse,block_mse,listwise_ce,listwise_proxy,window_spearman,pred_centered_ms,true_centered_ms
holdout_dfl_bakeoff_v1,lstm_expected,2025-12-26,51,84,False,-50.34505107534315,8042.974174022675,7346.620268670262,-0.006852817926365426,0.7725789564377745,0.8154929235862288,0.14942200878800782,7.475388321318084,38.65508184241593,84.78555200614994,0.3187978498629743,0.1163868984743094,0.09619525356047327
holdout_dfl_bakeoff_v1,lstm_expected,2025-12-27,53,70,False,3119.862931627539,3477.9211059212685,7411.580496026182,0.4209443496296499,0.42354895585989577,0.5781519146616251,0.09337367844005699,4.611977994622638,18.875146960052636,42.36227191472791,0.8452694887010589,0.16032064123572132,0.3385124023599606
holdout_dfl_bakeoff_v1,lstm_expected,2025-12-28,51,83,False,9232.986500567087,9791.699290275574,11889.188213940359,0.7765867891418515,0.17855066434641206,0.31320030996887077,0.08045623018181534,2.552909009020648,31.237606412435913,65.02812183389247,0.7844689132894158,0.20115437058755678,0.3513975385911186
holdout_dfl_bakeoff_v1,lstm_expected,2025-12-29,51,88,False,11098.4066461271,7780.5211544036865,12388.222994463616,0.8958836671802772,0.7913170439073437,0.8331338441115941,0.09720504170318184,5.023607779507564,19.32031442229151,43.664236624090584,0.9222664803573752,0.10150383856303791,0.24809473761847203
holdout_dfl_bakeoff_v1,lstm_expected,2025-12-30,51,68,False,7380.759462546374,6381.578296422958,31559.10942606037,0.2338709677419354,5.238914459753416,1.6823271135521025,2.4488277208957965,104.1886223700336,13.76227707259315,131.7131765152199,0.560757385377547,0.05525123036647258,2.6858228469768926
holdout_dfl_bakeoff_v1,lstm_expected,2025-12-31,50,66,False,3244.9890740505616,5012.07410544157,22576.10161322132,0.1437355806438339,7.155248243141362,2.516368515256038,0.8231377385694861,39.51979770247604,41.21854337365625,121.95688444978855,0.4302653388888099,0.03195706678674645,0.9129081663013374
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-03,37,66,False,1589.920573173121,1808.7433688342571,13361.719716678786,0.11899071428571431,0.3120070436853783,0.4653494748155804,0.3119966072847895,10.358290857013731,13.330454665299195,37.01920018761212,0.302766805806748,0.00869151287799032,0.32215497788400693
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-04,46,66,False,5039.611193283202,2347.303796559572,7323.682649823298,0.6881252826274218,0.7567900724321325,0.7728663770330971,0.17185944362643413,5.398479467155517,9.13806993563706,23.674619338429636,0.7796293840335953,0.014507646986838008,0.21680532251214835
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-05,0,12,False,3944.888678257545,1237.3282294720411,5662.824070401962,0.6966292134831459,0.9512887165584384,0.8965898471487321,0.1474153625482519,3.029531076121685,9.101626040315905,21.232783156753495,0.1935090597895766,0.005755427729719503,0.15898652379651337
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-06,38,63,False,317.1690497319073,1578.793615102768,922.5949328182957,0.3437793103448288,0.3377370534449111,0.5690548346294703,0.031131175141498255,0.5959243948642345,10.814957844422397,22.225840083709027,0.739272707895474,0.00946650646162346,0.04529465692432927
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-07,37,59,False,1266.9200871934347,1718.115210533142,6793.7950222018635,0.18648194169137988,0.11763616778004722,0.3030150527177713,0.11712713591238062,5.95075218085239,30.770311446640665,67.49137507413371,-0.5687793699956187,0.0076844665224272135,0.08807354379416694
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-08,28,61,False,646.5927052611098,2242.4605637788773,8037.637510627493,0.08044561656409295,0.16894055967249458,0.36582682687737744,0.16702821128197068,9.645622247459789,31.346042455054818,72.33770715756943,-0.511355177492548,0.008243198751369536,0.14785993609250386
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-09,76,88,False,-2427.598595830087,2961.509969085455,12573.171464875311,-0.19307766561617964,0.45675674359344015,0.5574967482137692,0.39304288027322265,24.492466679382872,47.03382588416648,118.56011844771584,-0.3713132075777419,0.022713865570472724,0.3027527188609949
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-10,72,88,False,-1109.7194547267097,2209.8453752696514,11155.171685390125,-0.09948026673404803,0.4280723590564988,0.5195316101098469,0.3579343905186603,21.94899548244516,26.973651918906043,75.89629932025724,0.10600945763010843,0.024078307659737314,0.2859203443779034
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-11,11,61,False,-7542.690780065173,1958.7790369987488,7485.846206756217,-1.0075936068867741,0.4196993868513024,0.5807971888184021,0.2940851859498232,17.048988859565085,23.158524714191984,63.36603828794905,-0.31169945905344065,0.005669859453958418,0.2548910039579649
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-12,36,61,False,4278.422653280547,2771.0498906672,10483.503486127383,0.40811000434559885,0.3663406760420858,0.519959283260654,0.3614791137767737,21.524988803216136,24.19915390511896,69.92329661345406,-0.07443806103087865,0.01604031066520964,0.29546225909521023
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-13,0,8,False,152.68628001959073,1230.9965156018734,9537.757783219018,0.01600861371089031,0.3662176482000173,0.5438995133428706,0.25809546452342824,14.013223590698356,18.887779618913193,51.788782828524745,0.33897081759127784,0.009882819177488157,0.2790241374148612
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-14,0,59,False,-794.3065167289941,1823.7851113080978,3791.572488594169,-0.20949263639780902,0.09434165966727835,0.27088757588905393,0.04189880696060053,2.0961554143475403,21.25848585539673,44.613127125141006,-0.19969182366224825,0.005813919970872747,0.031384215411443046
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-15,0,59,False,-1104.2411496428706,2364.9642318487167,8345.596517840402,-0.1323142267041465,0.20690690706807188,0.4212701305186144,0.19042584819380004,11.46244402419803,39.11183213375038,89.6861082916988,-0.531886248602365,0.010373303247278429,0.1660446046408732
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-16,0,62,False,-5974.5975304578,3146.6675475239754,9645.889090707162,-0.6193931398416886,0.2656398441549668,0.47164351053023285,0.24806619506014047,14.333824340121799,36.75234958205526,87.83852350423231,-0.5170397761328593,0.008631255211013244,0.21052163944989286
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-17,0,61,False,-7344.033821496532,1088.7125171720982,7342.5831204987235,-1.0001975736568456,0.2695547257432345,0.49324919352102975,0.21317816901650685,12.087709852848992,18.529062117067706,49.14583408698441,-0.2532160363881997,0.0023944492977934994,0.1988517369855434
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-18,37,61,False,6222.842375984504,2107.1155965328217,10104.393321423157,0.615855121434252,0.2921787382285405,0.4790935229095183,0.2903207379642704,16.991322139208265,17.78287051230847,52.557063163825205,0.03293565416705668,0.021654408929543317,0.2178954717750384
